9,58164,813431
1,58160,84514
6,58148,550001
9,58144,822645
5,58134,447299
1,58121,81761
4,58115,328416
4,58109,339124
3,58098,258117
4,58091,323385
6,58090,528875
6,58075,548545
9,58060,833982
2,58043,198394
5,58025,438868
9,58022,862886
2,58016,146859
3,58015,266976
5,57990,482175
6,57983,538929
9,57978,840007
2,57967,136618
8,57967,747135
1,57964,103023
9,57963,817670
1,57962,14520
6,57960,516445
6,57956,574267
2,57950,163350
5,57935,481377
4,57918,358221
3,57899,247449
10,57880,881254
4,57877,357354
7,57876,615207
5,57869,439973
9,57858,814777
4,57846,399048
7,57836,617464
6,57828,536948
8,57821,757008
3,57820,236404
4,57819,348828
4,57806,354616
10,57768,918399
4,57750,371804
2,57742,203488
2,57741,175638
6,57721,546491
7,57706,626683
3,57698,270759
1,57695,116063
2,57695,145518
3,57665,307546
6,57634,513421
4,57626,371788
4,57621,357664
4,57587,369978
7,57571,625025
10,57547,892962
4,57528,342760
4,57506,341974
9,57501,812427
4,57475,340774
7,57474,647352
3,57469,275864
9,57430,806342
8,57421,752503
4,57413,381158
10,57406,931548
3,57390,283286
9,57367,779993
2,57364,210267
10,57360,873478
10,57348,959429
8,57343,761455
3,57334,266688
10,57323,919517
2,57319,144749
6,57304,528677
1,57285,60155
4,57282,330366
5,57278,438549
5,57277,455875
9,57270,814192
2,57267,161979
3,57245,260024
7,57238,591405
6,57233,547275
10,57223,878408
8,57209,692392
7,57209,634681
9,57205,812712
4,57200,322452
2,57192,153203
7,57178,611510
3,57177,250432
3,57175,238910
3,57172,248237
6,57135,514075
9,57132,808209
6,57115,553925
9,57064,820169
10,57061,941072
5,57059,470950
3,57052,260927
9,57043,817814
8,57039,736424
6,57030,540887
9,57019,803510
4,57009,323638
4,57008,347717
10,57003,926109
4,56980,326203
1,56968,45004
3,56966,233726
2,56944,168263
7,56941,660847
4,56928,359357
10,56927,951602
9,56917,840315
10,56913,914756
3,56910,259549
3,56908,297783
7,56905,627711
1,56898,42595
5,56884,438530
1,56880,55336
2,56879,190102
9,56850,795122
1,56847,49930
9,56825,819022
2,56822,178538
5,56782,469850
3,56779,242932
3,56776,261876
10,56768,932706
5,56737,443676
6,56709,541825
3,56693,243890
4,56672,385799
5,56664,439874
4,56664,350580
7,56662,625463
4,56654,346168
5,56638,463481
10,56627,907306
1,56619,71866
5,56604,447935
1,56595,119267
2,56573,196943
7,56572,632967
2,56565,165265
9,56560,856729
8,56551,689035
10,56543,916494
1,56518,72709
1,56517,64915
5,56496,410687
6,56477,516350
7,56477,605042
7,56464,625898
5,56427,442440
3,56425,260576
10,56422,967378
8,56421,683530
7,56418,636434
8,56395,736306
4,56367,349108
7,56360,621186
5,56352,423802
4,56341,342652
5,56331,423620
6,56328,540222
1,56319,88602
7,56278,620127
6,56269,569573
10,56228,884021
6,56223,567808
7,56217,623365
4,56215,318157
8,56161,716761
2,56159,137812
7,56148,605070
3,56146,272692
10,56140,914731
1,56133,96213
10,56090,927137
8,56087,685441
6,56080,574677
2,56071,201211
7,56067,673251
3,56066,233844
4,56053,332655
7,56049,610595
8,56042,736383
5,56039,454830
9,56026,844723
4,56016,366240
2,56015,198947
8,55990,723038
2,55984,191383
4,55969,344245
8,55961,690689
6,55958,544164
7,55952,659824
10,55951,878442
1,55949,92697
7,55946,628231
2,55943,199953
10,55928,914904
7,55896,660104
9,55891,841456
4,55885,353740
5,55881,410108
3,55878,246316
2,55843,203407
10,55837,926804
9,55824,834525
1,55815,96388
6,55800,541978
10,55778,933958
1,55769,88583
10,55755,920335
6,55754,560057
3,55740,296300
7,55727,660293
3,55727,265291
1,55721,69392
2,55716,134368
9,55704,806221
3,55697,300328
2,55693,178245
9,55687,810522
3,55662,247506
10,55654,925638
5,55652,448782
6,55649,506035
5,55638,467218
3,55631,254000
3,55624,234716
5,55613,456136
6,55613,530751
3,55608,267097
4,55606,361001
6,55606,527728
9,55593,821584
9,55590,790148
5,55588,469729
3,55586,266735
3,55572,249568
7,55571,658842
10,55562,925656
7,55557,632857
1,55554,86162
1,55540,53178
2,55540,197156
5,55531,441085
10,55525,894233
2,55507,218076
1,55500,59060
4,55496,361611
6,55493,549397
10,55491,966782
2,55441,166517
5,55440,461268
2,55436,202792
9,55432,810488
6,55430,527424
6,55415,525900
3,55407,256053
4,55406,331327
2,55404,172450
9,55385,836208
5,55382,446674
5,55382,445426
2,55380,166013
4,55375,340375
1,55351,83291
2,55347,170684
8,55346,708719
8,55334,767513
3,55329,240335
1,55306,102168
7,55282,660261
9,55277,826104
6,55252,529283
1,55249,94853
7,55245,629367
6,55200,585401
3,55172,241962
4,55161,382779
4,55160,375742
1,55158,70967
1,55152,55095
2,55147,161881
5,55146,468324
8,55119,737493
9,55117,841429
7,55097,634891
10,55088,883979
8,55085,717059
6,55084,531471
3,55081,264980
7,55062,676852
4,55033,354998
3,55021,266734
8,55012,733605
8,55011,721173
4,54988,387811
7,54972,607431
1,54966,80066
7,54946,644666
10,54935,910796
1,54923,84227
5,54909,427023
10,54909,908651
6,54906,562259
3,54876,271626
9,54868,834185
